river,riverLabel,length
http://www.wikidata.org/entity/Q41983,Marne,514
http://www.wikidata.org/entity/Q200231,Oise,341.1
http://www.wikidata.org/entity/Q213967,Yonne,292.3
http://www.wikidata.org/entity/Q548466,Aube,248.3
http://www.wikidata.org/entity/Q23798,Eure,228.7
http://www.wikidata.org/entity/Q1074385,Risle,145
http://www.wikidata.org/entity/Q249062,Loing,142.7
http://www.wikidata.org/entity/Q990106,Epte,113
http://www.wikidata.org/entity/Q1808825,Ource,100.4
http://www.wikidata.org/entity/Q1545456,Yerres,97.5
http://www.wikidata.org/entity/Q534813,Essonne,97.1
http://www.wikidata.org/entity/Q490151,Andelle,56.8
http://www.wikidata.org/entity/Q809158,Barse,50.1
http://www.wikidata.org/entity/Q932382,Orge,50.1
http://www.wikidata.org/entity/Q1293249,Voulzie,43.9
http://www.wikidata.org/entity/Q2839143,Almont,42.1
http://www.wikidata.org/entity/Q2032338,Orvin,38.1
http://www.wikidata.org/entity/Q1911084,Mauldre,34.7
http://www.wikidata.org/entity/Q879306,Bièvre,34.6
http://www.wikidata.org/entity/Q789650,Auxence,34.2
http://www.wikidata.org/entity/Q687055,Laigne,33.2
http://www.wikidata.org/entity/Q3345641,Noxe,32.6
http://www.wikidata.org/entity/Q2927314,Brévon,31.5
http://www.wikidata.org/entity/Q2224726,Sarce,30.3
http://www.wikidata.org/entity/Q1025870,Cailly,29.3
http://www.wikidata.org/entity/Q3553922,Vallée Javot,29.1
http://www.wikidata.org/entity/Q640172,Ardusson,27.8
http://www.wikidata.org/entity/Q273432,École,26.7
http://www.wikidata.org/entity/Q631761,Arce,26.1
http://www.wikidata.org/entity/Q1432888,Hozain,24.6
http://www.wikidata.org/entity/Q1407916,Melda,24.2
http://www.wikidata.org/entity/Q3427835,Resson,23.7
http://www.wikidata.org/entity/Q1675661,Vaucouleurs,21.9
http://www.wikidata.org/entity/Q2870599,Aubette de Meulan,20
http://www.wikidata.org/entity/Q2872239,Austreberthe,17.9
http://www.wikidata.org/entity/Q47089237,Morelle,17.7
http://www.wikidata.org/entity/Q35453593,rû des Hauldres,17.1
http://www.wikidata.org/entity/Q3349975,Oison,16
http://www.wikidata.org/entity/Q3446397,ru d'Orgeval,16
http://www.wikidata.org/entity/Q2986218,Commerce,15.5
http://www.wikidata.org/entity/Q3428527,Revinson,15.4
http://www.wikidata.org/entity/Q58035060,ru de Chaumont,14.7
http://www.wikidata.org/entity/Q3272066,Lézarde,14.2
http://www.wikidata.org/entity/Q111212301,ru d'Enghien,14.18
http://www.wikidata.org/entity/Q48636271,Ru de Balory,12.2
http://www.wikidata.org/entity/Q3290348,Mare aux Evées,11.3
http://www.wikidata.org/entity/Q2971970,Châtelet,10.9
http://www.wikidata.org/entity/Q55595934,Canal de Sauvage,10.8
http://www.wikidata.org/entity/Q3067634,Faverolle,10.4
http://www.wikidata.org/entity/Q3446401,ru de Buzot,9.2
http://www.wikidata.org/entity/Q3434334,Robec,9
http://www.wikidata.org/entity/Q3446403,ru de Marivel,9
http://www.wikidata.org/entity/Q27734349,Gambon,8.4
http://www.wikidata.org/entity/Q17640213,Télhuet,8.3
http://www.wikidata.org/entity/Q2870595,Aubette,7.9
http://www.wikidata.org/entity/Q21619268,Triffoire,7.9
http://www.wikidata.org/entity/Q30738677,ru du canal,7.4
http://www.wikidata.org/entity/Q3557932,Vieille Mer,6
http://www.wikidata.org/entity/Q860172,canal Saint-Martin,4.6
http://www.wikidata.org/entity/Q3464289,Sainte-Gertrude,4.1
http://www.wikidata.org/entity/Q35453304,rû d'Écoute,3.5
http://www.wikidata.org/entity/Q117600035,Rançon,3.27
http://www.wikidata.org/entity/Q3038083,Douix,0.1
